"In a 20 mph collision, 4% of pedestrians die, 30 mph is 55%, and 40 mph is over 80%.","Guide for the Planning, Design, and Operation of Pedestrian Facilities",,,,AASHTO,,Cars
"We have agreed not to drive our automobiles into cathedrals, concert halls, art museums, legislative assemblies, private bedrooms and the other sanctums of our culture; we should treat our national parks with the same deference, for they, too, are holy places.",,,Edward,,Abbey,,Environment
A patriot must always be ready to defend his country against his government.,,,Edward,,Abbey,,Government
"It's not the beer cans I mind, it's the roads.",,,Edward,,Abbey,,Thoroughfares
"Factors that are driving the popularity of large houses: First, with less of a sense of community and public life in our culture, the home becomes a fortress which needs to contain everything we need, including multiple forms of entertainment, rather than basic shelter…",,,John,,Abrams,"Designer-builder of the South Mountain Company in West Tisbury, Mass.",Housing
The man who prefers his country before any other duty shows the same spirit as the man who surrenders every right to the state. They both deny that right is superior to authority.,,,Lord,,Acton,Historian (1834-1902),Government
A master plan that relies on good architecture to be good is not a good master plan.,,,Robert,,Adam,,Planning
"It does not require a majority to prevail, but rather an irate, tireless minority keen to set brush fires in people's minds.",,,Samuel,,Adams, (1722-1803),Change
A common mistake people make when trying to design something completely foolproof is to underestimate the ingenuity of complete fools.,,,Douglas,,Adams,,Design
If we do not lay out ourselves in the service of mankind whom should we serve?,,,John,,Adams,,Government
"I always consider the settlement of America with reverence and wonder, as the opening of a grand scene and design in providence, for the illumination of the ignorant and the emancipation of the slavish part of mankind all over the earth.",,,John,,Adams,,History
America does not go abroad in search of monsters to destroy.,,,John,Quincy,Adams,,History
"When Aeschines speaks, the people say, 'How well he speaks.' But when Demosthenes speaks, the people say, 'Let us march!'",Ancient Greek adage,,,,Anonymous,,Wisdom
"If, as the philosophers maintain, the city is like some large house, and the house is in turn like some small city, cannot the various parts of the house—atria, loggias, dining rooms, porticoes and so on—be considered miniature buildings? Could anything be omitted >from any of these, through inattention and neglect, without detracting from the dignity and worth of the work? The greatest care and attention, then, should be paid to studying these elements, which contribute to the whole work, so as to ensure that even the most insignificant parts appear to have been formed according to the rule of art.",,,Leone,Battista,Alberti,,Urbanism
"Love is the only thing that we can carry with us when we go, and it makes the end so easy.",,,Louisa,May,Alcott,,Wisdom
Every increment of construction should be done in such a way as to heal the city.,,,Christopher,,Alexander,,City
"More than any other time in history, mankind faces a crossroads. One path leads to despair and utter hopelessness. The other, to total extinction. Let us pray we have the wisdom to choose correctly.",,,Woody,,Allen,,Change
Transparency breeds self-correcting behavior.,,Admiral,Thad,,Allen,US Coast Guard,Wisdom
"If they could, 84% of older households would like to remain in their houses rather than move to retirement communities.",,,,,American Association of Retired Persons,,Aging
"After the Renaissance had turned decidedly against the informality of the Middle Ages, involuntary and dictated by conditions as it often was, the designers of the Post-Renaissance period made it a point to break the laws which had been considered immutable during the Renaissance. Michelangelo meant to burst the toils and chains of architectural rules, ancient and modern. That does not mean, however, that he and his followers wanted to be without rules; on the contrary in place of the old simple rules that were broken, new and more complicated ones were established and the new ones grew continuously more intricate...",,,From,,American Vitruvius: Civic Art by Hegemann and Peets,,Architecture
"...each additional hour spent in a car per day was associated with a 6% increase in the odds of being obese, while each additional kilometer walked per day was associated with a 4.8% reduction in the odds of being obese.","2003; re: U. S. Department of Health and Human Services, 1996",,R.,E.,Andersen,,Walkability
"In August of 2006 annualized housing starts in the US were just over 1.6 million. This is down to 2003 levels, but 2003 was still a record year. The number of units started in New Urbanist projects this year was what? A thousand? Two thousand? Sixteen thousand? This makes us the most accomplished and influential rounding error in the world of development.",,,John,,Anderson,,New Urbanism
"How many of you here think housing should be more affordable? (almost all hands rise) OK, now how many of those own your own home?' (most of the same hands stay up) OK. How many of you want the value of your own home to go down? (lots of blank looks, and hands creeping down) You see the problem?",,,,,Anonymous,,Affordable Housing
Reculer pour mieux sauter: to step back in order to better jump forward.,,,,,Anonymous,,Codes
"How is a village a village? By including young & old, white & black, rich & poor, churches & shops.",,,,,Anonymous,,Community
We don't want slow growth. We want slow land consumption.,,,,,Anonymous,,Development
"When you have too much of something, you tax it. When you have too little of something, you subsidize it.",,,,,Anonymous,,Incentives
A leader is one who influences.,,,,,Anonymous,,Leadership
The modernists are less interested in what is true or useful than in stripping architecture of its authority.,,,,,Anonymous,,Modernism
Nothing is more extinct than yesterday's avant-garde.,,,,,Anonymous,,Modernism
